Potency vs Parasite (uMol),Ion Regulation Activity,Ion Regulation Test Set,Smiles
0.0726,0,M,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccccc3C2=O
0.074,1,B,FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F
0.0782,1,M,COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2
0.0822,0,M,CNCCCNc1ccnc2cc(Cl)ccc12
0.0857,0,M,n1(n2)c(nc(C)cc1Nc(cc(C)cc3C)c3)nc2C(F)(F)F
0.0899,0,M,c1(cc(c2ccc(OC)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
0.0928,0,M,c1(cc(c2ccc(C)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
0.0944,0,M,Cc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2
0.106,0,M,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c2ccccc2F
0.1078,1,B,FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1
0.11,1,"A,B",FC(OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CN4CC(C=CC=C5)=C5C4)N32)F
0.1105,1,B,FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1
0.1137,1,B,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32
0.117,1,M,CCOc1ccc(cc1OCC)c2nonc2NC(=O)c3cccc(C)c3
0.118,0,M,CCOC(=O)c1ccc2nc(cc(O)c2c1)c3ccccc3
0.119,0,M,CCOC(=O)C1=CN(CC)c2cc(N3CCCCC3)c(F)cc2C1=O
0.13,1,B,ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3
0.135,0,M,CSC1=NC(=Nc2c(C)cccc2C)C3(CCC(CC3)C(C)(C)C)N1c4ccc(Cl)cc4
0.135,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32
0.139,1,M,COc1cccc(NC(=O)[C@H](C(C)C)N2C(=O)Nc3ccccc3C2=O)c1
0.14,0,M,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccsc3C2=O
0.1408,1,B,FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F
0.1415,0,M,CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2
0.142,0,M,CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3
0.142,0,M,[O-][N+](=O)c1ccc(C=NNc2nc3ccccc3[nH]2)cc1
0.146,0,M,CCCc1cc(O)c2C3=C(CN(C)CC3)C(=O)Oc2c1
0.148,0,M,COc1ccc(cc1)C2=C(c3ccc(OC)cc3)C4(C5C(C(=O)N(C5=O)c6ccc(C)cc6)C2(C4=O)c7ccccc7)c8ccccc8
0.154,0,M,CCOC(=O)C1=C(N=C2SC(=Cc3cc(C)n(c3C)c4ccc(F)cc4)C(=O)N2C1c5cccc(OC)c5OC)c6ccccc6
0.161,0,M,CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1
0.1656666667,0,A,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4
0.168,0,M,COc1ccc(C=C2SC(=N)N(C2=O)c3ccccc3OC)cc1
0.17,0,M,COc1ccc(c(OC)c1)n2ccnc2SCC(=O)Nc3cc(C)ccc3C
0.1765,0,M,COc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(OC)cc6)ccc3[nH]2
0.179,0,M,COc1ccc(cc1N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc(C)cc5)c6ccc(C)cc6)c7ccccc7)c8ccccc8)C(=O)C
0.18,0,M,COc1ccc(Br)cc1C2Nc3ccc4ccccc4c3C5=C2C(=O)CC(C5)c6ccccc6
0.184,1,Lit,O=C(NC1=CC=C(F)C=C1F)NC2=C(C3=CC=C(Br)C=C3)C(C(F)(F)F)=NN2C
0.194,0,M,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1
0.196,0,M,CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc2ccccc2
0.205,0,M,CCOC(=O)c1c(NC(=O)c2ccccc2)sc3c(O)c(CN(CC)CC)ccc13
0.205,0,M,CCOC(=O)C1=CN(CC)c2cc(N(C)CCc3ccc(OC)c(OC)c3)c(F)cc2C1=O
0.206,0,M,CSc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3
0.211,1,A,c1ncc2n(c1C(Nc1cccc(c1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F
0.212,0,M,n1(n2)c(nc(C)cc1Nc(cc3)ccc3Cl)nc2C(F)(F)F
0.2155,0,M,CCOC(=O)c1c(C)n(c2ccc(Cl)cc2)c3ccc(OC(=O)C=Cc4ccccc4)cc13
0.218,0,M,c1(cc(c2ccccc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4
0.232,0,M,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3ccc(OC)c(OC)c3
0.235,0,M,CN(C)CCCNc1c2ccccc2nc3ccccc13
0.237,0,M,CCCCCC(=O)N1C(C2=C(O)CC(CC2=Nc3ccccc13)c4ccc(OC)c(OC)c4)c5ccc(cc5)C(F)(F)F
0.242,0,M,n1(ncn2)c2nc(C)cc1Nc(ccc(cccc3)c34)c4
0.2425,0,M,CCCC1=C(CC)C(=N)c2ccccc2N1C
0.251,0,M,C1CN(CCO1)c2ccc(Nc3ccnc4cc5ccccc5cc34)cc2
0.251,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32
0.255,0,M,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
0.259,0,M,CCC(c1ccccc1)c2nn3c(nnc3s2)c4cccs4
0.263,0,M,Cc1cc(C=C2SC(=Nc3ccccc3)N(C4CCCC4)C2=O)c(C)n1c5ccc(Cl)cc5
0.268,0,M,Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1
0.274,0,M,CC1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1
0.277,0,A,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=NC=CC=C4
0.28,1,A,c1(ccccc1)CCCc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F
0.282,0,M,Cc1ccc(cc1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccccc5)c6ccccc6)c7ccccc7)c8ccccc8
0.283,0,M,C1(O)(CC(=O)c(ccc(OC)c2)c2O1)C(F)(F)C(F)(F)F
0.293,0,M,OC(CNC1CCCCC1)Cn2c3ccccc3c4ccccc24
0.296,0,M,[n+]1(C)c2c(cccc2)nc(ccc(NCCO)c3)c13
0.3,0,M,Cc1cc(NCCN2CCCCC2)c3ccc4ccccc4c3n1
0.304,0,M,C(Cc1c[nH]c2ccccc12)Nc3c4ccccc4nc5ccccc35
0.3045,0,M,Cc1cccc(c1)N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc6OCOc6c5)c7ccc8OCOc8c7)c9ccccc9)c%10ccccc%10
0.309,1,A,c1c(c(c(cc1)C(F)(F)F)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O
0.313,0,M,FC(F)(F)c1cccc(Nc2nc3ccccc3nc2Nc4cccc(c4)C(F)(F)F)c1
0.314,0,M,CCOC(=O)c1cnc2c(C)cccc2c1Nc3ccc(cc3)C(=O)C
0.314275,1,B,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32
0.326,0,M,Oc1ccc(cc1)c2nc(c3ccc4oc5ccc(cc5c4c3)c6[nH]c(nc6c7ccccc7)c8ccc(O)cc8)c([nH]2)c9ccccc9
0.3265,0,M,COC(=O)c1ccc(cc1)C2N(C(=O)c3ccccc3)c4ccccc4N=C5CC(CC(=C25)O)c6ccc(F)cc6
0.3292,1,B,FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O
0.345,0,M,Fc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1
0.3475,1,B,O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32
0.35,0,M,COc1cc(cc(OC)c1O)c2nc(c3ccc(Sc4ccccc4)cc3)c([nH]2)c5ccccc5
0.35,0,M,Cc1ccc(Nc2nc(cs2)c3ccccn3)cc1
0.35,0,M,c12c(CC(C(O)=O)NC1c3ccc(Cl)cc3Cl)c4c(cccc4)[nH]2
0.351,0,M,c1(cnc(c2c1O)ccc(CC)c2)C(OCC)=O
0.36,1,A,c1ncc2n(c1COCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F
0.361,0,M,CCN1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1
0.362,0,M,CC(C)(C)c1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
0.37,0,M,CCOc1cc2CCNC(c3cc(OC)c(O)cc3Cl)c2cc1OCC
0.372,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4(C56)C7C6C8C5C4C87)N32
0.373,0,M,C12=C(C=C(C(=O)NCc(cccn3)c3)C(=N)N1CCc(cc4)ccc4OC)C(=O)N(C=CC=C5C)C5=N2
0.376,0,M,C(CCCNc1c2CCCCc2nc3ccccc13)CCNc4c5CCCCc5nc6ccccc46
0.378,0,M,CCC1=C(C)C(=N)c2ccccc2N1C
0.381,0,M,CC1=C(CC(=O)c2cccc(c2)[N+](=O)[O-])C(=O)c3ccccc3C1=O
0.385,0,M,N1(C=CC(N)=NC1=O)C2O[C@@H]([C@@H](O)[C@H]2O)CO
0.387,0,M,CCCCCCc1cc2C=C(C(=O)Oc2cc1O)c3csc(C=Cc4ccccc4)n3
0.391,0,M,c1(c(ccn2)NCCN(CC)CC)c2cc(cccc3)c3c1
0.393,0,M,COc1cccc(c1)C(=O)NC(c2ccc(C)cc2)c3cc(Cl)c4cccnc4c3O
0.396,0,M,Cc1ccc(cc1)c2cc3nc4CCCCc4c(O)n3n2
0.4,0,M,Cc1cccc(Nc2nc(N)c3ccccc3n2)c1
0.406,0,M,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Cl)c3)[nH]2
0.407,0,M,CCCOCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
0.4145,0,M,Fc1cccc(c1)C2Sc3ccccc3N=C4C2C(=O)c5ccccc45
0.428,0,M,n1c(NCCO)c2c(cccc2)nc1Nc(ccc(C)c3C)c3
0.433,0,M,C(F)(F)(F)c(cc1)ccc1C(=O)NCC(N2CCCCCC2)c(ccs3)c3
0.4349,0,B,C(COc1cncc2n1c(nn2)c1cnc(cc1)C(F)(F)F)c1cc(c(cc1)F)F
0.439,0,M,CCOc1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
0.448,0,M,COc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccc(F)cc3)sc2C
0.45,0,M,Brc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4cc5ccccc5cc4[nH]3
0.454,0,M,Cc1ccc(cc1)C2CC(n3nc(cc3N2)C(=O)N4CCN(CC4)C(c5ccccc5)c6ccccc6)C(F)(F)F
0.466,0,M,OC(CNC1CCCCC1)Cn2c3ccc(I)cc3c4cc(I)ccc24
0.467,0,M,n1c(Nc(cc2)ccc2OC)cc(C)nc1NCc3ccccc3
0.473,0,M,CC(C)CCNCC(O)Cn1c2ccccc2c3ccccc13
0.477,0,M,n1(nc(C)c2c3ccc(OC)c(OC)c3)c2ncc(C#N)c1N
0.4775,0,M,COc1ccccc1N2C(=N)SC(=Cc3ccc(OCc4ccccc4F)cc3)C2=O
0.48,0,M,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1
0.489,0,M,CCOC(=O)C1=C(C)N=C2SC(=Cc3cc(Cl)ccc3O)C(=O)N2C1c4ccc(OC)cc4
0.5115,1,M,CCOc1c(Br)cc(cc1OC)C2C(=CN(C)C=C2C(=O)OC)C(=O)OC
0.512,0,M,CCn1c(CN2CCN(Cc3ccccc3)CC2)nc4cc(NC(=O)c5cccs5)ccc14
0.513,0,M,COc1ccc(cc1)C(=O)NC(c2ccc(Cl)cc2Cl)c3cc(Cl)c4cccnc4c3O
0.515,0,A,FC1=CC=C(N2C(C)=CC(C(OCC(N)=O)=O)=C2C)C=C1
0.516,1,M,COc1ccc(cc1Cl)C(=O)Nc2nonc2c3ccc(OC)c(OC)c3
0.5185,1,M,CCOC(=O)C1=CN(C)C=C(C1c2cc(Br)c(OCC)c(OC)c2)C(=O)OCC
0.52,0,M,COc1ccc2C(=O)C=C(Oc2c1)C(Cl)(Cl)Cl
0.53,0,M,COc1cccc(O)c1CN2CCC3(CCCN(Cc4ccc(F)cc4)C3)C2
0.532,0,M,COc1ccc(Nc2nc(NN=Cc3ccc(O)cc3)nc(Nc4ccc(cc4)[N+](=O)[O-])n2)cc1
0.534,0,M,CCCCCCc1cc(O)c2C3=C(CCC(C)C3)C(=O)Oc2c1
0.535,0,M,Cc1ccc(c(O)c1)c2cc([nH]n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCCC4
0.536,0,M,CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C
0.538,0,M,CCCCc1ccc(NS(=O)(=O)c2cc3CCN4C(=O)CCc(c2)c34)cc1
0.539,1,M,Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3
0.545,0,M,CN1C(=O)N(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc12
0.548,0,M,Oc1ccccc1CN2CCC3(CCCN(Cc4ccccc4F)C3)C2
0.551,0,M,COc1ccc(C=C2SC(=NC2=O)Nc3ccccc3)cc1
0.551,0,M,CCCCCCc1cc2C=C(C(=Nc3ccccc3C)Oc2cc1O)c4nc5ccccc5[nH]4
0.552,0,M,CN1C=C(C(c2ccccc12)c3c[nH]c4ccccc34)c5ccc6ccccc6n5
0.555,0,M,ClCC(=O)NCCOc1ccc(Cl)cc1Cl
0.56,0,M,CCOc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
0.563,0,M,Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4
0.567,0,M,OC1=C2C(Sc3ccccc3N=C2c4ccccc14)c5ccc(Br)cc5
0.5767,1,B,OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32
0.584,0,M,CCCCOC(=O)c1ccc(Nc2cc(C)nc3ccc(OC)cc23)cc1
0.589,0,M,n1c(NCc2ccccc2)c3c(cccc3)nc1Nc(cc4)ccc4OC
0.59,0,M,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc3ccccc13
0.591,0,M,COc1ccc(C=C2SC(=NC2=O)Nc3ccc(F)cc3)c(OC)c1
0.603,0,M,CC(NCc1ccccc1)c2cc(Cl)ccc2O
0.611,0,M,Oc1ccccc1CN2CCN(CC2)C(c3ccccc3)c4ccccc4
0.6145,0,M,Cc1sc2ncnc(Sc3nc4ccccc4[nH]3)c2c1C
0.615,0,M,c1(C(OCC)=O)c(cc(cc2)OC(=O)c(cc3OC)cc(OC)c3OC)c2n(c4ccccc4)c1C
0.625,0,M,CCN(Cc1ccccc1)C2CCN(Cc3cc(Br)ccc3O)CC2
0.632,0,M,COc1ccc(CCNC(=O)c2cc(ccc2Sc3ccc(F)cc3)S(=O)(=O)N4CC(C)CC(C)C4)cc1OC
0.635,0,M,Cc1ccc(CSCc2oc(cc2)C(=O)NC3CC3)cc1
0.6405,0,M,CCC(O)c1ccc(Br)cc1NC(=O)c2cccc(Cl)c2
0.641,0,M,CCN(CC)S(=O)(=O)c1ccc(cc1)c2csc(Nc3ccc(C)c(C)c3)n2
0.642,0,M,CCC(C)NCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
0.646,0,M,Oc1ccc2ccccc2c1CNc3nc4ccccc4[nH]3
0.646,0,M,O=C(NC1CCN(Cc2ccccc2)CC1)c3cc(cc(c3)C(=O)NC4CCN(Cc5ccccc5)CC4)C(=O)NC6CCN(Cc7ccccc7)CC6
0.648,0,M,CC1CCCCN1CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5ccc(F)cc5
0.66,0,M,OC(CNC1CCCC1)Cn2c3ccccc3c4ccccc24
0.6615,0,M,c1ccc(cc1)C2=Nc3ccccc3N=C(c4ccccc4)c5ccccc25
0.662,0,M,Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1
0.663,0,M,COc1ccc(CNC2CCN(CC2)c3ccc(NC(=O)c4cccc(Cl)c4)cc3)cc1OC
0.669,0,M,CN1C(=O)c2cc(sc2c3ccccc13)C(=O)NCCCN4CCCCCC4
0.6765,0,M,OC(COc1ccccc1C(=O)CCc2ccccc2)CN3CCCCC3
0.683,0,M,CCOc1cc2CCNC(c3cc(C)c(O)c(C)c3)c2cc1OCC
0.683,0,M,n1(c2c(cccc2)n3)c3c(C#N)c(C)cc1N(CC4)CCN4C5CCCC5
0.684,0,M,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14
0.685,0,M,FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1
0.686,0,M,c1(cc(C)nc(ccc(OC)c2)c12)Nc3ccccc3O
0.693,0,M,Cc1onc(NC(=O)c2ccc(cc2)c3ccccc3)c1
0.693,0,M,C1(=NC(N(C)C2=O)=O)C2=NC(=NN1CC)c3ccc(C(=O)OC)cc3
0.6945,0,M,CCN1C2=C(CCC2)C(=N)C3=C1CCCC3
0.697,0,M,CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
0.697,0,M,Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4cccs4)cc3s2
0.697,0,M,Cc1cc(C)c2nc(sc2c1)N3CCC(CC3)C(=O)NCCCN4CCC(CC4)N5CCCCC5
0.7,0,M,c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2
0.706,0,M,CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1
0.707,0,M,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Br)c3)[nH]2
0.716,0,M,CCCCC1=C(CCC)C(=N)c2ccccc2N1C
0.7185,0,M,CCN(CC)CCN1C(=N)N(CC(O)c2ccc(Cl)c(Cl)c2)c3ccccc13
0.728,1,M,CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2
0.735,0,M,COc1ccc(cc1)C2=CC(=O)Oc3c4CN(Cc5ccc(F)cc5)COc4ccc23
0.735,0,M,Clc1cc(NC(=O)c2oc(Br)cc2)ccc1N3CCCCC3
0.745,0,M,O=C(Nc1cccc(c1)C(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3)c5occc5
0.746,0,M,CCOc1cc2CCNC(c3cc(Cl)ccc3O)c2cc1OCC
0.7555,0,M,CC1CC(C)CN(C1)C(=O)c2ccc(Cl)cc2Cl
0.769,0,M,CC1CCCCC1NCC(O)Cn2c(C)c(C)c3ccccc23
0.771,0,M,Cc1[nH]c(cc1C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4
0.7744,0.5,B,O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4
0.776,0,M,C(Nc1nc(Nc2ccccc2)nc3ccccc13)c4ccccc4
0.782,0,M,COc1cc(cc(OC)c1OC)C(=O)ON=C(N)Cc2cccc3ccccc23
0.795,0,M,OCCCCN1C(=O)c2ccc3C(=O)N(CCCCO)C(=O)c4ccc(C1=O)c2c34
0.8005,0,M,Clc1cc(Br)ccc1c2oc(CNCC3CCNCC3)cc2
0.814,0,M,COc1ccccc1C(=O)ON=C(N)Cc2cccc3ccccc23
0.826,0,M,O=C(Nc1ccc(cc1)C23CC4CC(CC(C4)(C2)c5ccccc5)C3)c6cccs6
0.83,0,M,COc1ccc(cc1)C(=O)NC(c2ccccc2Cl)c3cc(Cl)c4cccnc4c3O
0.832,0,M,n1(CCc2ccccc2F)c3c(nc4c(cccc4)n3)c(C(=O)NCC(C)C)c1N
0.8355,0,M,Cc1nc2ccccc2c(O)c1CC=C(Cl)Cl
0.838,0,M,Clc1ccc(cc1Cl)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
0.842,0,M,Nc1ccc(cc1)c2nc3cc(Oc4ccc(Oc5ccc6[nH]c(nc6c5)c7ccc(N)cc7)cc4)ccc3[nH]2
0.843,0,M,CCCCNCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
0.845,0,M,COc1ccc(cc1)C2Sc3ccccc3N=C4C2=C(O)c5ccccc45
0.846,0,M,Clc1ccc2OC(=O)C=C(NC3CCN(CCCc4ccccc4)CC3)c2c1
0.854,0,M,n1c(NCCO)c2c(cccc2)nc1Nc3cccc(OC)c3
0.871,0,M,CC(=O)Nc1nnc(SCc2c(C)cc(cc2C)C(C)(C)C)s1
0.8755,0,M,CN(C)CCCNCc1oc(cc1)c2ccc(F)c(Cl)c2
0.89,0,M,C12=C(c3c(cccc3)C1=O)Nc4c(cccc4)SC2c5ccccc5
0.8905,0,M,Clc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3
0.893,0,M,OC(CN1C(=N)N(CCN2CCCCC2)c3ccccc13)c4cccc(Br)c4
0.898,0,M,c1(sc(cc2c(c3CC2)c4ccc3)c4n1)NC(=O)c(cc5OC)cc(OC)c5OC
0.9018,0.5,B,O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4
0.906,0,M,CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccc(C)cc4)c(C)c23
0.912,0,M,COc1ccc(OC)c(c1)C2C3=C(CC(C)(C)CC3=O)N(C4=C2C(=O)CC(C)(C)C4)c5ccc(Cl)c(Cl)c5
0.916,0,M,c([nH]nc1c2c(O)cc(C)c(Cl)c2)(C3=O)c1C(c4ccccc4F)N3CCc(cc5)ccc5OC
0.927,0,M,COc1cc2cc(C(=O)Nc3ccccc3)c(N)nc2cc1OC
0.928,1,M,C12(Nc(cccc3)c3c4n1c5c(cccc5)n4)C(=O)Nc(ccc(OC)c6)c26
0.928,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=C(OC)C=C4)N32
0.929,0,M,c1(c(cnn1c2cccc(C)c2)C(=O)N3)N=C3n4nc(C)cc4NC(=O)c5cc(cccc6)c6o5
0.93,0.5,Lit,O=C1C2=CC=CC=C2[C@@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@H](C4=CN=CC=C4)N1CC(F)(F)F
0.9345,0,M,COc1ccc(cc1CN2CCN(CC2)c3ccc(F)cc3)C4NCCc5c4[nH]c6ccccc56
0.939,0,M,Brc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3occc3
0.939,0,M,N1C(c2cccc(cccc3)c23)C(CC=C4)C4c5c1c(Cl)ccc5C(OC)=O
0.941,0,M,CCOc1ccc(cc1)C2N(C)c3ccccc3N2C
0.944,0,M,Clc1ccc2c(ccnc2c1)N3CCCC3
0.9465,0,M,CC(C)(C)c1ccc(cc1)C2CC(=C3C(N(C(=O)c4ccccc4Cl)c5ccccc5N=C3C2)c6ccc(F)cc6)O
0.947,0,M,Cc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)cc1
0.959,0,M,n12c(nc(c3ccc(Cl)s3)cc1C(F)(F)F)cc(C(=O)NC(CC4)CCN4Cc5ccccc5)n2
0.959,0,M,n1(nc(C)cc1NC(=O)c(cccc2C(F)(F)F)c2)c3scc(c(ccc(OCO4)c45)c5)n3
0.969,0,M,COc1ccc2nc(C)cc(Nc3cccc(O)c3)c2c1
0.994,0,M,CN1C(N(C)c2ccccc12)c3ccc4OCOc4c3
0.995,0,M,Clc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
1,0,M,n1c(N)c2c(cccc2)nc1Nc3cccc(F)c3
1,0,M,CCN1C(=Nc2ccccc2C1=O)SCC(=O)Nc3cc(ccc3Cl)C(F)(F)F
1.005,0,M,CC1CC2=C(CC1CNCCCN(C)C)C(C)(C)CCC2
1.01,0,M,n(CC(CNCCOC)O)(c1c2cc(Cl)cc1)c3c2cc(Cl)cc3
1.01,0,M,Clc1ccc2nc(cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2c1)c5cccnc5
1.01,0,M,n12c(cc(C(C)(C)C)n1)nc(CCN3Cc4ccccc4OCC)c(C3)c2O
1.01,0,M,O=C(Nc1cccc(c1)C2=NCCN2)Nc3cccc(c3)C4=NCCN4
1.01,0,M,Oc1c(ccc2cccnc12)C(Nc3ccccn3)c4cccc(Oc5ccccc5)c4
