Potency Qualifier	Potency vs Parasite (uMol)	Ion Regulation Activity	Ion Regulation Test Set	Smiles	InChI	IChI Key	Origin	ID: OSM Code	ID: MMV	ID: Internal OSM	ID: PubChem	ID: Chembl	ID: Commercial	ID: Other	Single Shot Inhibition %	Alternative EC50 from Chembl (uM)
	0.02432		B	c1ncc2n(c1OCC(c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C21H16F4N4O3/c22-16-6-3-13(7-17(16)23)14(10-30)11-31-19-9-26-8-18-27-28-20(29(18)19)12-1-4-15(5-2-12)32-21(24)25/h1-9,14,21,30H,10-11H2	MKSKANAVVSFYNL-UHFFFAOYSA-N	OSM S4	OSM-S-381	MMV670947							
	0.0248	0	M	Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7	InChI=1S/C35H31N3O4S2/c1-24-12-18-27(19-13-24)36-34-31-9-5-7-11-33(31)38(44(41,42)29-22-16-26(3)17-23-29)35(36)30-8-4-6-10-32(30)37(34)43(39,40)28-20-14-25(2)15-21-28/h4-23,34-35H,1-3H3	QTAGZWRQMULFSI-UHFFFAOYSA-N	Mbox		MMV007160			GNF-Pf-363				0.72
	0.025	0	A	CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=CC=C4	InChI=1S/C22H19N3OS/c1-15-13-17(16(2)25(15)19-11-7-4-8-12-19)14-20-21(26)24-22(27-20)23-18-9-5-3-6-10-18/h3-14H,1-2H3,(H,23,24,26)/b20-14-	QTDBAHFMTAMGMZ-ZHZULCJRSA-N	OSM S1	OSM-S-35	MMV689018	ZYH3; PMY47; MNR93	6016153					
	0.0255	0	M	CC1CN(CC(C)O1)C(=O)c2sc3ccccc3c2Cl	InChI=1S/C15H16ClNO2S/c1-9-7-17(8-10(2)19-9)15(18)14-13(16)11-5-3-4-6-12(11)20-14/h3-6,9-10H,7-8H2,1-2H3	LJXMGMZOYDGWON-UHFFFAOYSA-N	Mbox		MMV020492			TCMDC-125225				0.087881113
	0.03	1	Lit	O=C1C2=CC=CC=C2[C@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@@H](C4=CN=CC=C4)N1CC(F)(F)F	InChI=1S/C24H16F4N4O2/c25-19-8-7-16(10-15(19)11-29)31-22(33)20-17-5-1-2-6-18(17)23(34)32(13-24(26,27)28)21(20)14-4-3-9-30-12-14/h1-10,12,20-21H,13H2,(H,31,33)/t20-,21+/m0/s1	VKCPFWKTFZAOTO-LEWJYISDSA-N	Guy							(+)-SJ733		
	0.0328	1	M	CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4	InChI=1S/C22H23N3O3S/c1-13(2)12-25-20(17-9-6-10-29-17)19(15-7-4-5-8-16(15)22(25)27)21(26)23-18-11-14(3)28-24-18/h4-11,13,19-20H,12H2,1-3H3,(H,23,24,26)	YCGDUUJJIKNHJN-UHFFFAOYSA-N	Mbox		MMV006429			GNF-Pf-5537				0.0856
	0.03382			c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F	InChI=1S/C20H14F4N4O2/c21-15-6-1-12(9-16(15)22)7-8-29-18-11-28-17(10-25-18)26-27-19(28)13-2-4-14(5-3-13)30-20(23)24/h1-6,9-11,20H,7-8H2	PHGWNHSKOAAQGR-UHFFFAOYSA-N	OSM S4		MMV670945							
	0.034			CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4	InChI=1S/C24H17F6N3OS/c1-13-8-15(9-20-21(34)32-22(35-20)31-18-6-4-3-5-7-18)14(2)33(13)19-11-16(23(25,26)27)10-17(12-19)24(28,29)30/h3-12H,1-2H3,(H,31,32,34)/b20-9-	GVGNOLWIUGQIHW-UKWGHVSLSA-N	OSM S1	OSM-S-39	MMV689020	ZYH7	57515644					
	0.0367	1	M	COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1	InChI=1S/C25H26N2O3S/c1-16(2)15-27-23(21-9-6-14-31-21)22(19-7-4-5-8-20(19)25(27)29)24(28)26-17-10-12-18(30-3)13-11-17/h4-14,16,22-23H,15H2,1-3H3,(H,26,28)	LGNTZQIHXXXLLH-UHFFFAOYSA-N	Mbox		MMV000662			SJ000101287				0.1021
	0.0368	0	M	C(c1ccccc1)n2c(N=Nc3c(Nc4ccccc4)ccc5ccccc35)nc6ccccc26	InChI=1S/C30H23N5/c1-3-11-22(12-4-1)21-35-28-18-10-9-17-26(28)32-30(35)34-33-29-25-16-8-7-13-23(25)19-20-27(29)31-24-14-5-2-6-15-24/h1-20,31H,21H2	DAEPSCKFIWDJAQ-UHFFFAOYSA-N	Mbox		MMV666023			GNF-Pf-4095				2.734
	0.04	1?	Lit				Guy							SJ279		
	0.0423	0	M	COc1ccc2nccc(C(O)C3CC4(CCN3CC4)C=C)c2c1	InChI=1S/C20H24N2O2/c1-3-20-7-10-22(11-8-20)18(13-20)19(23)15-6-9-21-17-5-4-14(24-2)12-16(15)17/h3-6,9,12,18-19,23H,1,7-8,10-11,13H2,2H3	FNBBFRCDCVFRON-UHFFFAOYSA-N	Mbox		MMV665782			GNF-Pf-5561;TCMDC-124047				0.00682;0.115407364
	0.04575			FC1=CC=C(C=C1)N2C(C)=CC(/C=C(SC(N(C3=CC=CC=C3)C(C)=O)=N4)/C4=O)=C2C	InChI=1S/C24H20FN3O2S/c1-15-13-18(16(2)27(15)21-11-9-19(25)10-12-21)14-22-23(30)26-24(31-22)28(17(3)29)20-7-5-4-6-8-20/h4-14H,1-3H3/b22-14-	WFLINPFRLHPFGO-HMAPJEAMSA-N	OSM S1	OSM-S-9		PMY14; PMY35	57515635					
	0.05	1?	Lit				Guy							SJ247		
	0.0515	0	M	CN(C)c1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1	InChI=1S/C18H16N2O2/c1-20(2)14-10-7-13(8-11-14)9-12-17-19-18(21)15-5-3-4-6-16(15)22-17/h3-12H,1-2H3	PESIVUUPADYIOC-UHFFFAOYSA-N	Mbox		MMV006309			GNF-Pf-5367;TCMDC-123870;GNF-Pf-3853				0.0959;0.044597958;0.1303
	0.0581	0	M	c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12	InChI=1S/C15H20ClN3/c1-3-19(4-2)10-9-18-14-7-8-17-15-11-12(16)5-6-13(14)15/h5-8,11H,3-4,9-10H2,1-2H3,(H,17,18)	OJGAAQMNLKYWSQ-UHFFFAOYSA-N	Mbox		MMV006087			GNF-Pf-5623				0.00716
	0.05866666667			O=C(N=C(S/1)N(C2=CC=CC=C2)C(C)=O)C1=C\C3=C(C)N(C4=CC=CC=C4)C(C)=C3	InChI=1S/C24H21N3O2S/c1-16-14-19(17(2)26(16)20-10-6-4-7-11-20)15-22-23(29)25-24(30-22)27(18(3)28)21-12-8-5-9-13-21/h4-15H,1-3H3/b22-15-	HYCHBJJSXVXDSY-JCMHNJIXSA-N	OSM S1	OSM-S-49		ZYH16	57515648					
	0.06536			C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F	InChI=1S/C20H13F5N4O2/c21-14-6-3-12(7-15(14)22)16(23)10-30-18-9-26-8-17-27-28-19(29(17)18)11-1-4-13(5-2-11)31-20(24)25/h1-9,16,20H,10H2	LWSXCRQHVHDFGX-UHFFFAOYSA-N	OSM S4		MMV672936							
	0.067			CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=C(C)C=C4	InChI=1S/C23H21N3OS/c1-15-9-11-20(12-10-15)26-16(2)13-18(17(26)3)14-21-22(27)25-23(28-21)24-19-7-5-4-6-8-19/h4-14H,1-3H3,(H,24,25,27)/b21-14-	XCTPMKNSBDOHRB-STZFKDTASA-N	OSM S1	OSM-S-37 	MMV689019	ZYH5; AEW76	57515642					
	0.0726	0	M	COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccccc3C2=O	InChI=1S/C19H19N3O4/c1-26-16-9-5-2-6-13(16)12-20-17(23)10-11-22-18(24)14-7-3-4-8-15(14)21-19(22)25/h2-9H,10-12H2,1H3,(H,20,23)(H,21,25)	GONCPXNUBXWDEU-UHFFFAOYSA-N	Mbox		MMV665916			GNF-Pf-3483				0.537
	0.074	1	B	FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F	InChI=1S/C20H14F4N4O3/c21-14-6-3-12(7-15(14)22)16(29)10-30-18-9-25-8-17-26-27-19(28(17)18)11-1-4-13(5-2-11)31-20(23)24/h1-9,16,20,29H,10H2	BXEWPSCIVPVASC-UHFFFAOYSA-N	OSM S4	OSM-S-390	MMV672687	EGT 171-1						
	0.0782	1	M	COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2	InChI=1S/C21H18ClNO5S2/c1-23(15-9-14(22)16(27-2)10-17(15)28-3)21(24)18-8-12-11-30(25,26)19-7-5-4-6-13(19)20(12)29-18/h4-10H,11H2,1-3H3	RXQJJBRAANNIDY-UHFFFAOYSA-N	Mbox		MMV006427			GNF-Pf-4758				0.113
	0.07866666667			CC1=CC(/C=C(C(N/2)=O)\SC2=N/C3=CC=CC=C3)=C(C)N1C(C=C4)=CC=C4C(F)(F)F	InChI=1S/C23H18F3N3OS/c1-14-12-16(15(2)29(14)19-10-8-17(9-11-19)23(24,25)26)13-20-21(30)28-22(31-20)27-18-6-4-3-5-7-18/h3-13H,1-2H3,(H,27,28,30)/b20-13-	YBBWTVGRVHTTDD-MOSHPQCFSA-N	OSM S1	OSM-S-38		ZYH6	57515643					
	0.0822	0	M	CNCCCNc1ccnc2cc(Cl)ccc12	InChI=1S/C13H16ClN3/c1-15-6-2-7-16-12-5-8-17-13-9-10(14)3-4-11(12)13/h3-5,8-9,15H,2,6-7H2,1H3,(H,16,17)	DSQFFQFYQVGMPS-UHFFFAOYSA-N	Mbox		MMV020500			TCMDC-125233				0.062400925
	0.0857	0	M	n1(n2)c(nc(C)cc1Nc(cc(C)cc3C)c3)nc2C(F)(F)F	InChI=1S/C15H14F3N5/c1-8-4-9(2)6-11(5-8)20-12-7-10(3)19-14-21-13(15(16,17)18)22-23(12)14/h4-7,20H,1-3H3	OINUBRUVZASSAQ-UHFFFAOYSA-N	Mbox		MMV011259			NA				NA
	0.0899	0	M	c1(cc(c2ccc(OC)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4	InChI=1S/C22H16ClF3N4O2S/c1-32-15-5-2-13(3-6-15)17-11-19-21(27-8-9-30(19)29-17)33-12-20(31)28-18-10-14(22(24,25)26)4-7-16(18)23/h2-11H,12H2,1H3,(H,28,31)	CHKCMNYNCPRLNW-UHFFFAOYSA-N	Mbox		MMV396679			NA				NA
	0.0928	0	M	c1(cc(c2ccc(C)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4	InChI=1S/C22H16ClF3N4OS/c1-13-2-4-14(5-3-13)17-11-19-21(27-8-9-30(19)29-17)32-12-20(31)28-18-10-15(22(24,25)26)6-7-16(18)23/h2-11H,12H2,1H3,(H,28,31)	HKNNPGWJKJDXCN-UHFFFAOYSA-N	Mbox		MMV396680			NA				NA
	0.0944	0	M	Cc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2	InChI=1S/C18H12N2O/c1-11-6-8-12(9-7-11)16-10-15-17(20-19-16)13-4-2-3-5-14(13)18(15)21/h2-10H,1H3	ITHVHASAWMAMQC-UHFFFAOYSA-N	Mbox		MMV666021			GNF-Pf-3832				1.998
	0.1012			C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C	InChI=1S/C21H16F4N4O3/c1-21(30,13-4-7-15(22)16(23)8-13)11-31-18-10-26-9-17-27-28-19(29(17)18)12-2-5-14(6-3-12)32-20(24)25/h2-10,20,30H,11H2,1H3	NBSLUXDUMZFLCA-UHFFFAOYSA-N	OSM S4		MMV672723							
	0.106	0	M	CCCCCCOC(=O)C1=C(C)NC(=O)NC1c2ccccc2F	InChI=1S/C18H23FN2O3/c1-3-4-5-8-11-24-17(22)15-12(2)20-18(23)21-16(15)13-9-6-7-10-14(13)19/h6-7,9-10,16H,3-5,8,11H2,1-2H3,(H2,20,21,23)	ZMRHGYILDNXKHW-UHFFFAOYSA-N	Mbox		MMV007686			GNF-Pf-1405				6.76
	0.1078	1	B	FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1	InChI=1S/C19H13ClF2N4O/c20-14-4-2-13(3-5-14)19-25-24-17-10-23-11-18(26(17)19)27-8-7-12-1-6-15(21)16(22)9-12/h1-6,9-11H,7-8H2	PMHUSEXABGDNGS-UHFFFAOYSA-N	OSM S4	OSM-S-272	MMV639565	AEW 302-1						
	0.11			c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(cn2)c1ccc(cc1)Cl	InChI=1S/C20H14ClF2N3O/c21-15-4-2-14(3-5-15)18-10-25-19-11-24-12-20(26(18)19)27-8-7-13-1-6-16(22)17(23)9-13/h1-6,9-12H,7-8H2	MQHQNFQVEXYAMO-UHFFFAOYSA-N	OSM S4	OSM-S-273	MMV669846							
	0.11	1	A,B	FC(OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CN4CC(C=CC=C5)=C5C4)N32)F	InChI=1S/C21H17F2N5O/c22-21(23)29-18-7-5-14(6-8-18)20-26-25-19-10-24-9-17(28(19)20)13-27-11-15-3-1-2-4-16(15)12-27/h1-10,21H,11-13H2	GCTJTAXQIMQNDG-UHFFFAOYSA-N	OSM S4	OSM-S-380	MMV669848	PCCBTAK-0194						
	0.1105	1	B	FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1	InChI=1S/C21H15F2N5O2/c1-29-18(15-6-7-16(22)17(23)8-15)12-30-20-11-25-10-19-26-27-21(28(19)20)14-4-2-13(9-24)3-5-14/h2-8,10-11,18H,12H2,1H3	PERKBMZWWUEZNJ-UHFFFAOYSA-N	OSM S4	OSM-S-218	MMV669844	AEW 313-1						
	0.1137	1	B	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32	InChI=1S/C21H18F2N4O3/c22-21(23)30-17-8-6-15(7-9-17)20-26-25-18-10-24-11-19(27(18)20)29-13-16(12-28)14-4-2-1-3-5-14/h1-11,16,21,28H,12-13H2	MGANJQKOPZQELF-UHFFFAOYSA-N	OSM S4	OSM-S-353	MMV693155	AEW 294-1						
	0.1147			c1ncc2n(c1Oc1cc3c(cc1)cccc3)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C22H14F2N4O2/c23-22(24)30-17-8-6-15(7-9-17)21-27-26-19-12-25-13-20(28(19)21)29-18-10-5-14-3-1-2-4-16(14)11-18/h1-13,22H	OICXVTBHLZSJIW-UHFFFAOYSA-N	OSM S4		MMV670659							
	0.117	1	M	CCOc1ccc(cc1OCC)c2nonc2NC(=O)c3cccc(C)c3	InChI=1S/C20H21N3O4/c1-4-25-16-10-9-14(12-17(16)26-5-2)18-19(23-27-22-18)21-20(24)15-8-6-7-13(3)11-15/h6-12H,4-5H2,1-3H3,(H,21,23,24)	OAAGWQPTMMCQCB-UHFFFAOYSA-N	Mbox		MMV665805			SJ000091710				0.0619
	0.118	0	M	CCOC(=O)c1ccc2nc(cc(O)c2c1)c3ccccc3	InChI=1S/C18H15NO3/c1-2-22-18(21)13-8-9-15-14(10-13)17(20)11-16(19-15)12-6-4-3-5-7-12/h3-11H,2H2,1H3,(H,19,20)	MGUKTDNBGKTMHQ-UHFFFAOYSA-N	Mbox		MMV006457			GNF-Pf-4475				0.549
	0.119	0	M	CCOC(=O)C1=CN(CC)c2cc(N3CCCCC3)c(F)cc2C1=O	InChI=1S/C19H23FN2O3/c1-3-21-12-14(19(24)25-4-2)18(23)13-10-15(20)17(11-16(13)21)22-8-6-5-7-9-22/h10-12H,3-9H2,1-2H3	RRDUBKZHUJXICD-UHFFFAOYSA-N	Mbox		MMV665827			GNF-Pf-4731;TCMDC-124156				0.1657;0.125216209
	0.119			O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC(OC)=CC=C3)NC1=N\C4=CC=CC=C4	InChI=1S/C23H21N3O2S/c1-15-12-17(16(2)26(15)19-10-7-11-20(14-19)28-3)13-21-22(27)25-23(29-21)24-18-8-5-4-6-9-18/h4-14H,1-3H3,(H,24,25,27)/b21-13-	QRGVMORNNJFJKZ-BKUYFWCQSA-N	OSM S1	OSM-A-3								
	0.1228			C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C	InChI=1S/C21H15F5N4O2/c1-21(26,13-4-7-15(22)16(23)8-13)11-31-18-10-27-9-17-28-29-19(30(17)18)12-2-5-14(6-3-12)32-20(24)25/h2-10,20H,11H2,1H3	MHMDPQOWBHVFHN-UHFFFAOYSA-N	OSM S4		MMV672727							
	0.13	1	B	ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3	InChI=1S/C19H15ClN4O/c20-16-8-6-15(7-9-16)19-23-22-17-12-21-13-18(24(17)19)25-11-10-14-4-2-1-3-5-14/h1-9,12-13H,10-11H2	VURCFSOLNXCMTN-UHFFFAOYSA-N	OSM S4	OSM-S-293	MMV663915	SSP-4; EGT 90-1						
	0.135	0	M	CSC1=NC(=Nc2c(C)cccc2C)C3(CCC(CC3)C(C)(C)C)N1c4ccc(Cl)cc4	InChI=1S/C27H34ClN3S/c1-18-8-7-9-19(2)23(18)29-24-27(16-14-20(15-17-27)26(3,4)5)31(25(30-24)32-6)22-12-10-21(28)11-13-22/h7-13,20H,14-17H2,1-6H3	VCVMLWDTGJJHIX-UHFFFAOYSA-N	Mbox		MMV666596			GNF-Pf-366				1.477
	0.135	1	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32	InChI=1S/C21H18F2N4O3/c1-28-17-4-2-3-14(11-17)9-10-29-19-13-24-12-18-25-26-20(27(18)19)15-5-7-16(8-6-15)30-21(22)23/h2-8,11-13,21H,9-10H2,1H3	QAMQLYPPZOESDX-UHFFFAOYSA-N	OSM S4	OSM-S-383	MMV897711	EGT 147-1						
	0.139	1	M	COc1cccc(NC(=O)[C@H](C(C)C)N2C(=O)Nc3ccccc3C2=O)c1	InChI=1S/C20H21N3O4/c1-12(2)17(18(24)21-13-7-6-8-14(11-13)27-3)23-19(25)15-9-4-5-10-16(15)22-20(23)26/h4-12,17H,1-3H3,(H,21,24)(H,22,26)/t17-/m0/s1	HGHQOEUVKUMVFT-KRWDZBQOSA-N	Mbox		MMV665878			TCMDC-125133				0.266334226
	0.14	0	M	COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccsc3C2=O	InChI=1S/C17H17N3O4S/c1-24-13-5-3-2-4-11(13)10-18-14(21)6-8-20-16(22)15-12(7-9-25-15)19-17(20)23/h2-5,7,9H,6,8,10H2,1H3,(H,18,21)(H,19,23)	ALGPHOUNWIZIOQ-UHFFFAOYSA-N	Mbox		MMV019066			TCMDC-123587				1.038295576
	0.1408	1	B	FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F	InChI=1S/C22H19F4N5O2/c1-30(2)18(14-5-8-16(23)17(24)9-14)12-32-20-11-27-10-19-28-29-21(31(19)20)13-3-6-15(7-4-13)33-22(25)26/h3-11,18,22H,12H2,1-2H3	PMIWBIXSAYKRGF-UHFFFAOYSA-N	OSM S4	OSM-S-389	MMV897763	EGT 169-1						
	0.1415	0	M	CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2	InChI=1S/C24H24N4/c1-27-14-16-28(17-15-27)19-12-10-18(11-13-19)25-24-20-6-2-4-8-22(20)26-23-9-5-3-7-21(23)24/h2-13H,14-17H2,1H3,(H,25,26)	QZKGUNQLVFEEBA-UHFFFAOYSA-N	Mbox		MMV006172			GNF-Pf-3427;TCMDC-123912				0.0567;0.644666095
	0.142	0	M	CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3	InChI=1S/C24H33NO2/c1-4-23(3)18-24(14-16-27-23,21-11-9-19(2)10-12-21)13-15-25-17-20-7-5-6-8-22(20)26/h5-12,25-26H,4,13-18H2,1-3H3	AZZXQPIFKYDBCE-UHFFFAOYSA-N	Mbox		MMV019406			TCMDC-124003				0.038750999
	0.142	0	M	[O-][N+](=O)c1ccc(C=NNc2nc3ccccc3[nH]2)cc1	InChI=1S/C14H11N5O2/c20-19(21)11-7-5-10(6-8-11)9-15-18-14-16-12-3-1-2-4-13(12)17-14/h1-9H,(H2,16,17,18)	OWDSNDZARSGGNT-UHFFFAOYSA-N	Mbox		MMV666607			GNF-Pf-4119;TCMDC-124105				0.818;0.282748306
	0.146	0	M	CCCc1cc(O)c2C3=C(CN(C)CC3)C(=O)Oc2c1	InChI=1S/C16H19NO3/c1-3-4-10-7-13(18)15-11-5-6-17(2)9-12(11)16(19)20-14(15)8-10/h7-8,18H,3-6,9H2,1-2H3	JYZGRMRMVUUYHG-UHFFFAOYSA-N	Mbox		MMV665841			GNF-Pf-4824;TCMDC-124226				0.554;0.872768742
	0.148	0	M	COc1ccc(cc1)C2=C(c3ccc(OC)cc3)C4(C5C(C(=O)N(C5=O)c6ccc(C)cc6)C2(C4=O)c7ccccc7)c8ccccc8	InChI=1S/C42H33NO5/c1-26-14-20-31(21-15-26)43-38(44)36-37(39(43)45)42(30-12-8-5-9-13-30)35(28-18-24-33(48-3)25-19-28)34(27-16-22-32(47-2)23-17-27)41(36,40(42)46)29-10-6-4-7-11-29/h4-25,36-37H,1-3H3	RTQBJPVFCOCBHF-UHFFFAOYSA-N	Mbox		MMV666101			GNF-Pf-3375				12.5
	0.154	0	M	CCOC(=O)C1=C(N=C2SC(=Cc3cc(C)n(c3C)c4ccc(F)cc4)C(=O)N2C1c5cccc(OC)c5OC)c6ccccc6	InChI=1S/C36H32FN3O5S/c1-6-45-35(42)30-31(23-11-8-7-9-12-23)38-36-40(32(30)27-13-10-14-28(43-4)33(27)44-5)34(41)29(46-36)20-24-19-21(2)39(22(24)3)26-17-15-25(37)16-18-26/h7-20,32H,6H2,1-5H3	QQNUVMRXVVLAAU-UHFFFAOYSA-N	Mbox		MMV666601			GNF-Pf-2899				2.325
	0.16			c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)Cl	InChI=1S/C20H13ClF4N4O2/c21-17-19-28-27-18(12-2-4-13(5-3-12)31-20(24)25)29(19)16(10-26-17)30-8-7-11-1-6-14(22)15(23)9-11/h1-6,9-10,20H,7-8H2	FOQQXRIKYKUBGB-UHFFFAOYSA-N	OSM S4		MMV668823							
